 -127 -127 -127
  127  127  127
  127 -127 -127
  127  127  127
 -127  127 -127
 -127 -127 -127
  127 -127  127
 -127 -127 -127
 -127 -127  127
  121 -127  127
  127 -116  127
  127 -116 -127
 -125 -116  127
 -127  127  127
 -127  127  127
 -127  116  127
  113  113  127
 -127  113  127
 -127  -97  127
  127  -97  127
  127  121 -127
 -120  127 -127
 -127 -112  127
 -112  112 -127
 -120  127 -127
  127 -127 -127
  127 -127 -127
  127  127 -127
  127  127 -127
 -127  127 -127
 -127  127 -127
 -127  127  127
  127  127 -124
  127 -127 -124
 -127  127  118
 -127 -127  118
 -127 -127  103
  127 -127 -103
  127 -127  112
  127 -127  112
 -127 -127 -119
 -127  127 -119
  127 -127  127
 -122 -127 -127
  127 -127  127
  127  127  127
  127 -127 -127
 -127  127 -127
  127  127  127
  127 -127  127
 -127  127  127
 -127 -127 -127
 -127 -122 -127
 -127  122 -127
 -127 -127  127
 -127  127 -127
 -127  127 -127
   89 -127  127
 -127  126 -127
 -126  126  127
 -127 -126  111
  127  127 -111
 -127 -127 -111
  127 -126 -127
  121 -127  127
  127 -127  111
  127  127  127
 -127 -127 -127
  127  126  127
  127 -126  127
 -127 -127 -127
  127  127 -127
  127  127 -127
  -99 -127  127
 -127  127 -127
  127  127 -127
 -127 -127  127
 -127 -127  127
 -127 -127  127
  113  113  127
  127  -97  127
  123   97  127
  127  -97  127
  127 -107  127
 -127  107 -127
 -127   97  127
 -112 -112 -127
 -127 -107  127
  127 -116 -127
 -123  107 -127
  127  107  126
  127 -107  126
  127 -125  125
  127 -122 -125
  127  123 -125
  123  123 -126
 -127  127  127
  127 -127 -125
 -127 -127 -124
  127 -127 -124
  127  127 -126
  123 -127 -127
  127 -127 -127
  119 -124 -126
  127  108 -127
  127  108  127
 -127  108 -127
 -127  120 -127
  127 -127 -127
  127 -108 -127
  124  124  127
 -127 -127 -127
  127  127  127
 -119  127  127
  127 -127 -127
 -127 -127 -127
  127 -127 -112
 -119 -127 -112
 -127 -127  112
  124 -127  127
 -127  127 -127
  127  127 -112
 -127  127  122
 -127 -127  127
  127 -127 -127
  127  127  127
 -127  127 -127
 -127 -127 -127
 -127  127 -127
 -125  127  127
  127 -127 -127
  127 -127  127
 -127 -127  127
  127 -127 -127
  127  127 -127
  127 -127  127
 -127  127  127
 -127 -127  127
 -127 -127  127
 -127  127 -127
 -127 -127  127
 -124  127 -127
 -127  127 -127
  127 -127 -127
  120 -127  127
 -127 -127  127
 -127  127 -127
  127 -127 -127
 -127 -127 -127
  124 -127  127
 -127 -127 -124
  117  127 -124
  127  122  124
 -127 -122 -127
  123 -122  127
 -127  127 -124
  127  127 -120
  127 -122 -120
   91 -127  126
 -127  127  127
 -119  127 -127
  122  127 -126
  127 -127 -118
 -127  127  118
 -115 -115 -123
  127  115  127
  127   99  127
 -127  -99 -123
 -127  127  119
  127  127  119
 -127  -99  119
 -127 -127  127
 -127  -99  127
 -121  -99  119
 -127  -99  127
 -127 -127 -127
  127  127  127
  127  -99 -127
 -114 -114 -127
 -127 -127 -127
 -123  127 -127
  127  127 -127
 -126 -127  127
  127  127 -127
 -127  127  127
  122 -127  127
 -127 -122 -127
  127 -122  127
  127  122  127
  127 -127 -127
 -127  127  127
 -127 -122  127
  127  127 -125
 -114 -127  125
  127 -127 -127
  127 -127  127
 -127  127  119
 -127  127 -119
 -127 -121  119
 -127 -121  123
  127 -121  123
  127 -127  119
 -118  127  120
  127 -121 -119
  127 -127 -112
  127  127  112
 -127 -127  127
  121  127  120
  127 -127 -127
 -123 -127  127
 -127 -114 -127
  127 -114  127
 -127  114  127
  127  127  127
 -127  127  124
  127  114  124
 -126 -127 -127
  127  127 -127
 -121  127  127
  120 -127  127
 -127 -127 -127
  127 -127 -127
  127  127  127
 -122  127  127
  127  127  127
  125  127 -127
 -127  127 -127
  127 -127  127
  117  121  127
  119  121 -127
  127 -121  127
 -127 -127  127
 -126 -127 -127
  127 -121  127
  127 -127  127
  127 -127 -127
  127  119 -127
  127  119 -127
  123 -119 -127
  127  124 -127
 -127  127  127
 -125 -119 -127
 -122  110 -127
  127 -110  127
  127  109 -127
 -127 -109  127
  124  127 -127
 -122  110  127
 -125  120 -127
 -124  120  127
  123  127  127
 -118  127  127
 -127 -127  127
 -124  127 -127
  127 -127  127
  127  127  127
 -127 -127 -127
 -127 -127 -127
  127  127 -127
  127 -127  127
  127  127  127
 -127  127  127
 -127 -127 -127
 -127  127 -127
  127 -127  127
