   -15	    -9	    -7
     5	    -9	    -3
   -12	    -6	    -1
     2	     4	   -19
    -8	     0	   -18
    14	    15	   -14
    -5	    10	    -9
   -11	     6	    -4
   -26	    10	    -9
    -5	    10	    -6
    17	    -2	    -9
     3	    -3	    -8
     1	     0	    -1
   -19	    12	     2
    -5	    -8	     1
    -2	    -8	     1
   -13	     8	    23
   -28	   -21	   -14
    -7	    10	    11
     7	    22	    -2
    14	     8	     9
     6	    -6	    12
    -6	     2	    22
    18	   -16	   -28
     6	     2	   -12
    -8	   -14	     5
    -1	   -12	    -1
     9	     6	    16
     2	     8	   -22
    -3	     7	    -9
    -3	    15	    -2
    -2	   -11	   -12
     4	   -21	    -2
    10	     5	     4
     6	   -10	   -26
   -15	     5	     1
   -27	   -22	    -7
   -11	   -17	    28
    12	     8	    -3
     3	   -16	   -10
