     1	     7	     9
     5	     7	    -3
   -12	    10	    15
    18	     4	   -19
     8	     0	   -18
    -2	    -1	   -14
    -5	    10	     7
     5	   -10	    -4
   -26	    -6	     7
    -5	    -6	    10
    17	    14	     7
     3	    -3	    -8
     1	     0	    -1
   -19	    -4	     2
    -5	    -8	   -15
    -2	     8	     1
     3	     8	    23
   -28	   -21	   -14
     9	    10	    11
     7	    22	    14
    14	     8	     9
     6	    10	    12
    10	    18	    22
    18	   -16	   -28
     6	     2	     4
     8	     2	   -11
    15	   -12	    -1
    -7	    22	    16
    18	     8	    -6
    -3	    -9	    -9
    13	    -1	    -2
    -2	     5	     4
     4	   -21	    -2
    10	   -11	     4
   -10	   -10	   -10
   -15	     5	   -15
   -11	   -22	     9
   -11	   -17	    28
    12	     8	    -3
    19	   -16	   -10
    15	    10	    19
   -18	   -16	     0
    -4	    -9	     1
    20	     7	     3
    24	   -11	    19
     8	    16	    -1
   -10	     5	    22
     4	    23	    -6
    -5	    -2	   -10
    21	     7	    -1
    13	   -12	    -6
    -9	    -7	   -19
     9	    16	    16
     6	    13	     3
    10	    15	    10
     2	    13	    12
     3	    24	   -13
    -7	    10	     4
     8	    10	    20
    16	    21	     6
   -17	   -10	     2
    20	    -8	     8
    -1	    12	     8
    -8	    -7	     3
   -21	   -13	    10
    30	    -6	   -10
     4	   -19	     3
   -15	    14	     3
     1	    11	     6
   -11	   -17	    17
   -15	    -8	    -4
     2	    -6	    -4
    -1	     0	   -16
    -1	   -21	   -12
    -3	     4	    -4
     0	    -7	    -1
   -16	    20	   -13
    -6	   -11	   -13
    -8	   -10	    -6
   -26	     0	    -4
    12	    20	    -6
     2	     1	    17
    18	    18	    24
    30	    16	    12
   -21	   -20	    -8
    -8	    17	   -17
     1	    15	   -10
   -22	    12	    -5
    10	    -8	    -3
     3	    -7	    -3
    -8	     7	    -3
    -6	    22	   -12
     3	    -2	    -3
     5	    11	    23
     9	   -18	    11
   -17	     5	     4
     7	    -8	    10
    13	   -14	    18
   -10	     3	    25
    10	     9	   -11
    12	   -14	    11
    -3	    -3	    17
   -13	     6	   -13
     7	    11	     9
   -23	     0	     0
     5	     0	     0
     8	     0	     0
