   -15	    -9	     9
     5	    -9	    13
   -12	    -6	    15
     2	     4	   -19
     8	    16	    -2
    -2	    15	     2
    11	    -6	     7
   -11	   -10	    -4
   -10	    -6	     7
    -5	    10	    10
    17	    -2	     7
     3	    -3	    -8
     1	     0	    -1
   -19	    12	   -14
    -5	    -8	   -15
    -2	    -8	     1
     3	    -8	    23
   -28	    -5	     2
    -7	    -6	    27
     7	     6	    14
    14	     8	     9
    22	    10	    -4
    10	    18	     6
     2	     0	   -12
    22	   -14	     4
    -8	   -14	   -11
    15	   -12	   -17
    -7	     6	    16
    18	     8	   -22
   -19	    -9	    -9
    -3	    15	    -2
    14	     5	   -12
     4	    -5	    14
    10	   -11	   -12
   -10	   -10	   -10
   -15	   -11	     1
   -27	    -6	    -7
   -11	   -17	    12
    12	     8	    13
     3	     0	     6
    15	    -6	    19
   -18	     0	   -16
    12	    -9	   -15
     4	     7	     3
     8	     5	    19
     8	    16	    15
     6	   -11	     6
     4	     7	    10
    -5	    14	   -10
     5	     7	    15
    13	     4	    10
    -9	     9	    -3
    -7	     0	    16
   -10	    13	     3
    10	    -1	    -6
     2	    13	    12
     3	    24	   -13
   -23	    10	   -12
     8	    -6	    20
     0	     5	   -10
    -1	   -10	   -14
     4	    -8	     8
    -1	    -4	     8
    -8	     9	   -13
    -5	     3	    -6
    14	    -6	   -10
   -12	   -19	     3
   -15	    -2	     3
     1	    -5	     6
     5	    -1	     1
     1	    -8	    12
   -14	    -6	    -4
    15	     0	   -16
    -1	   -21	   -12
    -3	   -12	    -4
     0	     9	   -17
     0	    20	   -13
    10	   -11	     3
   -24	     6	    10
   -10	    16	    12
    -4	    20	    10
     2	     1	     1
    18	    18	     8
    30	     0	    -4
   -21	   -20	    -8
    -8	     1	    -1
     1	    31	     6
   -22	    -4	    -5
    10	    -8	    -3
     3	    -7	    -3
     8	     7	    13
    -6	     6	   -12
   -13	    14	    -3
    21	    11	     7
     9	    -2	    -5
   -17	     5	     4
    -9	     8	    -6
    -3	     2	    18
   -26	   -13	    25
    -6	    -7	   -11
    -4	     2	    11
    -3	    -3	     3
     6	     7	    -5
   -23	    17	    -5
    19	     0	     0
