   -15	    -9	    -7
    21	     7	    -3
   -12	    10	    -1
     2	    20	    -3
    -8	    16	    -2
    14	    15	     2
    11	    -6	    -9
     5	   -10	    -4
   -10	    -6	     7
    -5	    10	    -6
    17	    14	     7
     3	    -3	     8
     1	   -16	    -1
   -19	    -4	     2
    -5	     8	   -15
    -2	    -8	     1
     3	    -8	     7
   -28	   -21	     2
    -7	    -6	    11
    23	     6	    -2
    14	     8	    -7
    22	    10	    -4
    -6	    18	    22
    18	     0	   -12
     6	   -14	     4
     8	     2	   -11
    15	   -12	   -17
     9	    22	     0
     2	     8	   -22
   -19	    -9	     7
    13	    -1	    -2
    14	     5	   -12
     4	   -21	    14
    10	   -11	   -12
   -10	     6	   -10
   -15	     5	     1
   -27	   -22	     9
     5	    -1	    12
    12	    -8	    13
     3	     0	     6
    -1	    -6	     3
    -2	   -16	     0
    12	     7	   -15
    20	    -9	     3
     8	     5	    19
     8	    16	    15
     6	   -11	     6
   -12	    23	    -6
    -5	    -2	   -10
     5	    -9	    15
    -3	     4	    10
     7	     9	    -3
    -7	     0	    16
     6	    13	   -13
    10	    -1	    -6
   -14	    -3	    -4
     3	    24	   -13
   -23	    -6	   -12
    -8	    10	     4
    16	    21	   -10
   -17	   -10	   -14
    20	     8	    -8
    -1	    12	    -8
     8	    -7	     3
   -21	   -13	    -6
    30	    -6	   -10
     4	    -3	     3
   -15	    14	   -13
    17	    11	     6
   -11	   -17	     1
   -15	    -8	    -4
     2	    10	    -4
    15	   -16	     0
    -1	   -21	     4
   -19	   -12	   -20
     0	     9	    -1
     0	    20	     3
    -6	   -11	   -13
   -24	   -10	    10
   -26	     0	    12
    -4	     4	    -6
     2	     1	     1
    18	     2	     8
    30	    16	    -4
   -21	    -4	     8
    -8	     1	   -17
     1	    31	   -10
   -22	    12	    -5
    10	    -8	    -3
     3	     9	    -3
     8	    -9	    -3
    10	     6	     4
   -13	    -2	    -3
     5	    11	    23
    -7	    -2	    -5
    -1	   -11	    20
    -9	     8	    -6
    -3	     2	     2
   -26	   -13	     9
    -6	    -7	     5
    12	   -14	    -5
    -3	   -19	   -13
   -10	     7	    -5
   -23	    17	     5
     3	     8	     9
    19	   -21	    13
   -12	    -8	    14
    -2	   -11	     5
    14	     8	    -6
     4	    -1	     8
   -17	    -5	    -9
     8	    -4	    -8
    -2	    12	   -12
     7	   -14	    18
     5	     6	    -6
    -9	   -17	     3
   -14	    11	    -3
     7	   -13	    14
   -25	    15	    -4
    -2	    -9	     6
    -9	    -2	   -14
   -10	    19	    11
    10	     4	   -13
   -12	    -3	    -3
     3	   -12	     5
     5	   -10	    -6
    10	     1	    -9
    -4	    -8	   -27
    12	     9	   -19
    17	    -5	     3
   -14	   -14	    -5
     6	    -2	    -1
    -8	    12	   -10
    -3	    -1	     3
    10	    24	     8
    -7	    11	   -17
   -15	   -24	    -8
    -8	     1	     7
   -23	    20	    23
   -18	     2	     8
    10	     2	     0
     2	     6	   -11
   -27	    -4	     3
    -1	    23	     7
    -6	   -11	    17
     6	    -3	    -5
    -2	     3	   -26
     5	     5	     3
    -3	     7	    -9
   -18	     9	   -19
    -3	   -12	     9
    -9	    13	     1
    -2	   -16	    17
   -14	    22	   -11
    -3	     2	     3
    -2	    -2	     8
    -1	   -13	    18
     9	   -12	     7
     1	   -14	    24
   -16	    -2	    12
     7	    -6	    -9
   -20	    22	     4
     6	     1	    17
    -7	   -10	     7
    14	    13	   -14
     7	     4	    -2
    -3	     2	    -7
     8	     1	    -6
    -2	    -8	   -18
    -7	    13	    13
    -5	    28	    -9
    -5	     1	     5
    15	     6	    14
     5	     8	   -18
     8	    -1	    -9
     5	   -13	    23
    22	    25	     5
    16	    14	     9
    -8	    23	   -10
   -15	     4	     2
     3	    16	    -5
     7	    20	     1
    16	    -2	    12
    -2	    10	   -12
    -6	    -3	    14
   -20	   -11	    20
    -1	    16	    -6
    30	   -16	    -8
   -10	    14	    -4
    -2	     9	    -4
   -14	   -17	     3
    -5	     7	   -15
     4	    -6	   -11
    28	     0	   -10
    18	     2	    10
    -6	     2	   -11
    -7	    24	   -16
    15	     8	    11
    10	    22	    13
   -22	     5	    -7
   -11	    18	     0
   -10	    17	    -7
    -1	    13	    -9
     4	   -10	     0
   -13	    15	    -7
    -7	     0	   -15
    -8	     1	    22
   -21	     1	     8
    -9	     2	     1
     3	   -15	   -12
    -6	     7	    -5
    20	   -17	    -6
    -4	   -17	   -11
    -4	    17	    -4
    10	   -15	    16
   -10	     0	   -11
     0	    17	     7
    24	     8	   -10
     5	     5	    -1
   -22	   -21	     7
    12	   -13	   -11
     1	     4	     5
    -6	     7	   -14
     4	   -15	    -4
   -13	    12	    -6
   -17	    30	   -10
   -26	     5	   -23
   -15	    -3	    17
   -25	    -8	     7
    -7	   -15	   -11
    13	     1	    -6
    -6	    -6	    19
    16	    -5	    -3
   -11	    14	   -21
     4	    -9	   -20
   -15	     9	     4
   -11	     2	    -9
    14	     8	    -1
    -3	    -9	   -13
    25	   -19	   -11
    10	    -5	     6
     1	    -2	   -12
     4	     0	     9
     7	    -2	    -3
    21	     3	     6
   -15	    -9	     3
   -18	   -12	     5
    16	    12	    16
    11	   -25	    12
     0	    -3	     5
    -3	     7	     2
     2	    -1	   -18
    -9	    12	     9
    18	     5	     7
    -8	   -10	     1
    13	     2	    -3
    15	    10	    -7
   -23	    13	    -7
    27	    -1	   -15
     6	    -6	    11
    12	   -10	   -14
    -5	   -10	    -7
    -1	    -5	    11
    11	    -9	   -13
    -3	    -4	    18
    18	     9	    -2
    -6	    16	     6
     8	    12	    14
    -1	    12	   -13
   -11	     2	   -24
     5	    -4	    -9
    -4	    -6	    17
    -6	    15	     9
     1	   -19	    15
     2	     4	     8
     9	    -7	   -16
   -14	    -2	    -6
    -8	    -7	    -1
     4	    23	   -10
     0	    -1	     1
   -30	   -14	   -11
    -8	    -9	    -6
   -18	     7	     9
    -5	     2	     0
     0	     5	    10
     0	   -13	   -24
   -12	    -5	     0
     0	     1	   -13
     6	     0	    -6
   -11	    10	    -4
     0	    11	    11
     4	     2	   -15
    -7	     7	    18
     2	    11	   -13
   -10	    14	   -14
   -23	     4	     4
   -15	     2	    -4
     9	   -10	    -2
    -9	   -27	    17
   -11	     5	    19
    -1	    -7	   -20
    18	   -15	    15
    16	     5	    -3
    -3	    -8	     5
   -15	     2	   -15
   -11	   -15	    17
   -12	     0	     4
   -11	    10	   -10
   -16	   -11	     4
   -16	    14	    13
    10	    -6	     3
     5	     7	     9
   -11	   -10	    15
    14	     2	     2
    -8	     5	    -2
    12	   -16	    -8
    17	    21	    -7
   -10	     4	    -4
   -16	    -3	   -14
     9	     1	    -5
     1	   -10	     5
    -7	    -1	    19
    -6	     6	     2
   -12	   -18	   -25
     4	    -3	     2
    -2	     8	    15
    11	   -17	    26
   -10	     5	    -6
    12	    15	   -22
   -10	     3	    15
     0	    10	    -1
     6	    -6	   -10
    -4	    14	   -16
   -10	     3	     7
    -8	    11	     1
   -17	    20	   -10
    -6	     0	   -19
     7	    -9	   -17
     8	    -2	   -18
   -14	    11	    16
   -16	    -6	    -7
   -13	    26	     3
   -16	     5	   -24
    -9	    -4	   -10
    -3	     2	    -6
    -6	     1	    -5
     5	     2	    27
    -9	   -21	     3
    13	    23	     3
   -24	   -15	    10
   -20	    -6	    -5
     0	    -3	    -4
    -7	    13	     4
   -12	    10	    -7
   -15	     0	    -5
     3	    -7	   -18
   -15	    10	    12
    -8	     9	    -1
    -3	   -15	     7
    22	     1	    -3
    16	     6	    -9
   -24	   -14	    11
    -4	    14	    12
     3	    -4	   -12
    22	   -14	     4
   -14	     3	    -7
    -2	    17	     5
   -21	    -5	    -9
     2	    19	    -7
     0	   -18	     6
     6	   -12	   -14
    10	    14	    -5
    -7	    16	   -21
     6	    13	     8
    22	    20	    12
     8	   -12	   -15
     9	   -23	     4
    16	     7	     7
   -12	   -27	   -15
   -13	    16	    -8
    -9	   -11	    17
   -15	     4	   -13
   -13	    12	     1
   -11	     9	    -5
     4	    -9	    10
   -18	    -4	   -15
    -3	   -10	    -8
    11	   -14	    -9
     4	     0	   -14
   -12	   -18	    18
   -18	   -17	     9
    11	    -1	     7
    -1	   -19	   -19
   -15	    -5	    18
     7	    -4	    -4
     0	     9	     1
    10	     8	     3
    12	    -3	     2
    10	     8	     7
    -1	    -3	     9
    -6	   -13	    -5
    12	    -6	     4
     8	    -2	   -22
    -9	     5	    -8
     0	    11	     8
    28	     0	    -2
    -5	   -12	    -7
     9	    -9	     2
     4	    -6	    13
     8	     3	    -4
   -13	   -15	     9
    -6	   -10	    -1
   -10	     1	    -5
    14	     4	    13
     0	   -14	    14
   -13	    10	    19
    23	    -5	     0
    14	    -6	   -18
    -8	    -4	    -3
    -6	   -13	    15
     1	    -3	    -2
     2	    15	   -18
    -7	     0	   -12
   -10	    16	    13
   -10	     1	    -9
    -5	     1	    -2
   -25	    16	     7
     3	    12	     0
    15	    -8	    -8
     6	   -14	   -20
   -18	    -4	   -10
     1	    -9	     7
    -2	    -6	     8
    -7	   -16	   -24
     9	     5	    11
   -10	    10	   -10
     5	    -8	     9
   -14	     4	   -10
    -5	     4	   -15
    -1	     2	   -23
    11	    13	   -15
   -16	   -12	     5
     3	   -12	     7
   -26	     5	   -16
    17	   -10	     6
    -8	    10	     3
     7	     6	    22
    -1	    19	    -9
    -8	    10	    11
    17	    -5	   -14
    -8	    17	    -2
    -6	    -1	    16
    18	    11	    15
    13	     2	   -14
   -21	     3	   -16
     4	     2	   -16
     0	     4	     4
    -9	    31	    -8
     6	     2	    16
     6	    -7	   -20
    12	   -12	    -9
   -19	     1	     8
    13	    -3	    14
   -12	    -1	    -9
    13	    -3	     2
    13	   -18	    15
    -7	     9	    -6
    -1	    16	    14
    15	   -13	     3
    -3	   -10	    -7
    11	    -8	    -9
    -6	   -10	    -2
    12	     8	    15
     2	     7	    -8
     8	    20	   -10
    12	    13	    -6
    13	    18	   -14
    15	    -5	     3
   -10	     8	    10
    -9	     6	   -18
    18	     3	     2
    -6	    10	    16
   -14	    13	     9
    -6	    11	    11
     0	    15	    12
    11	    21	     6
    15	    -6	    20
     9	    -9	     0
   -21	    20	    21
   -13	    15	    11
     2	     7	     5
   -15	    14	     3
    21	     4	    13
   -12	    -1	    14
    17	    -4	     4
   -19	    -5	   -10
     4	    -7	     6
    18	     6	     2
    -7	   -10	   -21
     3	    -5	     2
     3	     3	    -7
   -12	    17	    14
   -17	    16	   -26
     7	    -6	   -15
   -12	    -3	     9
    18	    17	     0
    -1	    -3	   -11
    -4	    13	   -14
   -13	    -3	   -17
     3	     0	    10
   -17	   -14	    19
   -12	   -16	    -1
     1	    -3	    10
     9	   -16	    10
    -3	     0	    12
   -13	    -8	    18
    -8	     3	    -3
    -3	    -1	    -4
    -1	     0	    12
     3	    -4	   -18
     9	    -4	     7
   -12	   -18	   -11
    -9	   -18	    -2
    -7	    -4	    -1
     0	    -7	     2
    12	    -1	    11
    -9	     3	    -6
    16	   -27	    -5
     9	   -12	    22
    -5	   -15	    16
    -5	    -5	   -13
    11	     1	     5
   -17	     8	    -4
    -7	     8	    -7
     1	    -3	     7
   -13	    -5	    24
    -8	    24	     3
   -16	    -2	    -1
     8	    18	   -12
    14	     2	    26
     4	    -4	     7
    -1	   -10	   -15
    21	    -2	    14
    11	    -1	    -2
   -13	   -21	    12
     4	     8	     7
    13	   -31	    -2
   -21	   -13	     3
    14	     8	    14
    19	     7	     2
    11	     3	     5
    19	    19	   -15
     1	    -7	    12
    18	    -1	    28
    24	    -9	   -17
    -2	     4	    -5
     4	    -3	    -1
    -1	     6	    -9
    18	    -1	    -5
    15	   -24	    -4
    11	    15	   -13
   -19	   -10	    -9
    -2	    -5	     7
    -8	   -10	    22
     1	    -5	   -15
     3	     4	    13
    -4	    16	    -3
    13	   -16	    -3
    -8	    -5	   -12
   -14	     5	    -1
   -13	    -3	    -5
    -2	    22	    -6
   -18	   -17	    -8
     6	     2	   -14
    -8	     8	    -6
   -10	    11	    -2
   -18	   -17	     6
   -16	    -9	     9
    18	   -14	     0
     9	     3	   -14
   -13	    -1	   -11
    14	    10	    -3
    14	   -10	    13
   -13	   -17	     0
     3	   -18	   -24
     9	    -2	     8
    -8	    10	    -2
    -7	    -6	    -2
     1	     5	     0
   -17	    -7	   -21
    10	   -10	    -7
     4	     0	     1
    -3	    17	     6
    10	    -1	     4
   -12	   -23	     5
     0	     5	   -21
   -21	    17	     0
     8	    11	    -8
    -4	    -9	   -10
     0	     6	     5
     1	    -6	   -16
    17	    15	   -22
     8	     2	   -11
    11	     1	   -13
     6	    -9	    16
     6	    -9	   -15
     0	    12	     4
     7	     8	    -6
    -9	    -6	   -16
    20	    -7	    14
    -7	    17	   -11
    17	     6	     3
   -22	    20	     2
    11	   -10	   -10
    15	    -5	    -5
    19	    19	    -5
   -14	    -6	    -1
    11	     9	   -14
    -4	   -13	    -2
     4	    12	   -29
   -19	    13	    28
     5	     5	     3
     2	   -12	   -12
   -10	     6	     5
   -13	    -2	     0
    12	    10	     5
    14	   -12	     8
    -3	    -5	    -4
     8	     8	    21
    -8	   -15	   -10
    -7	    24	     6
    24	    16	    17
   -16	    -4	   -12
    15	     1	   -11
    10	    -3	   -12
     5	     1	     0
   -11	     7	     2
     0	    -6	     0
     9	    -2	    -1
    24	    -1	    14
    19	   -16	   -10
    -2	   -18	   -19
    11	    -4	    12
     3	    -3	   -12
     4	   -19	    -3
    -7	   -16	    -8
     7	    31	   -14
   -13	     1	    11
     4	   -12	     1
     3	   -19	     8
    -2	    18	     7
   -25	    10	    14
     7	   -17	     8
     1	   -10	   -17
    12	    20	    -1
    -2	    -5	    10
     6	   -22	    -4
   -18	    -2	    -2
    -9	    -4	   -19
    13	    15	   -20
    29	   -10	     8
    -8	   -13	   -27
     8	     8	     0
    20	     8	    13
   -16	   -16	     6
    13	   -31	    -1
    -2	     6	    11
     3	   -13	   -22
   -14	   -10	    -7
     3	     1	    -2
     6	     5	    13
    -1	     9	    -6
     9	    -8	     3
   -19	    -4	     6
   -11	     5	    -6
     9	     7	   -18
    -3	    -8	     9
   -12	     7	    -6
     8	    -6	    -7
   -16	    -2	    23
     6	     4	   -13
    -3	    27	     0
    14	    -6	    -2
     6	     0	   -13
   -23	   -18	   -14
    11	    -9	     7
    11	    -7	     6
     7	   -11	    -4
   -16	    -4	    10
     2	    16	    20
    20	   -14	    16
     1	     0	   -19
     0	   -11	    -5
     3	   -14	    -2
     8	    13	     2
    -3	    13	     5
    -5	     4	    -9
    -2	    -8	     1
   -10	    10	     1
   -10	   -13	   -11
    19	     7	    -7
    12	     7	    11
    -7	    12	    10
   -20	   -15	   -11
   -20	    10	   -13
    13	    20	    -6
   -18	    13	    17
   -14	    -7	   -16
   -14	   -10	     5
     6	     7	    -6
   -12	    -1	    -8
   -16	   -26	     5
    -1	     2	    15
   -11	    -6	    -7
     7	     6	    13
     8	    -5	     1
   -12	    17	   -11
     8	    11	    -3
    -4	     7	    -4
    -2	    -2	    -8
   -19	   -15	   -10
   -10	   -10	    -9
     1	     8	    -1
    26	     7	     8
    20	    -3	    -8
     7	     2	    12
   -13	     3	    -5
     1	   -10	    11
   -15	     2	    -6
     8	     0	    26
     7	     5	   -13
    -7	     8	    -7
    -5	   -17	    11
     1	   -12	     3
   -10	    -7	   -13
   -11	   -14	    11
    -4	     6	     1
     8	    13	    -8
     4	     6	    -7
    -6	     3	     2
     2	   -16	    -7
    17	    17	    10
    16	    10	    14
   -12	     8	     3
   -15	     2	    15
     8	   -10	     1
     4	   -13	    -9
    17	    17	     6
    13	    11	     6
    -6	     8	   -20
     7	    -9	    -3
     9	     4	   -20
    -1	   -17	    -7
    -3	    11	    18
    -7	     1	     5
    12	   -18	    -3
   -13	    -7	    -9
   -16	    -5	   -23
     8	    -5	     8
     9	    10	    18
   -11	    10	   -15
    15	     2	    13
   -19	    13	    12
     1	    18	   -17
    -2	     8	     3
     2	   -11	     8
   -16	    17	     5
   -16	   -10	    12
   -12	    11	    -5
     1	   -27	   -10
     2	     8	    10
    -3	     2	     9
   -13	   -16	   -13
    -5	    13	    10
    -3	    27	   -18
    -8	   -19	    -4
