     1	     7	     9
     5	     7	    -3
   -12	    10	    15
     2	    20	   -19
     8	    16	    -2
    14	    -1	     2
    -5	    10	     7
     5	     6	    12
   -26	    10	    -9
    -5	    10	    10
    17	    14	     7
     3	    -3	     8
     1	   -16	    15
   -19	    -4	     2
    -5	     8	     1
    -2	    -8	   -15
     3	    -8	     7
   -28	   -21	     2
     9	    10	    27
     7	     6	    -2
    14	     8	     9
    22	    10	    12
    10	    18	     6
     2	     0	   -12
     6	     2	     4
     8	   -14	     5
    -1	     4	   -17
    -7	    22	     0
     2	    -8	   -22
    -3	     7	     7
    13	    15	   -18
    -2	   -11	     4
     4	   -21	    -2
    10	   -11	     4
   -10	     6	   -26
   -15	     5	     1
   -11	    -6	     9
   -11	    -1	    28
    12	    -8	    -3
     3	     0	   -10
    15	    -6	    19
    -2	     0	   -16
    -4	    -9	   -15
    20	     7	    19
    24	   -11	    19
     8	    16	    -1
   -10	     5	    22
     4	    23	    -6
    -5	    -2	     6
     5	    -9	    -1
    13	     4	    10
     7	    -7	   -19
     9	    16	    16
     6	    -3	   -13
    10	    -1	    10
     2	    -3	    12
     3	    24	   -13
   -23	    -6	   -12
     8	    10	     4
     0	    21	   -10
   -17	     6	   -14
    20	    -8	     8
    15	    -4	     8
    -8	    -7	   -13
    -5	   -13	    -6
    30	    10	   -26
     4	   -19	   -13
     1	    -2	   -13
     1	    11	   -10
     5	   -17	    17
   -15	     8	    -4
     2	    -6	    -4
    15	   -16	   -16
    -1	   -21	   -12
   -19	     4	   -20
    16	    -7	    -1
   -16	     4	     3
    10	   -11	     3
    -8	     6	    10
   -26	    16	    -4
    12	    20	    10
     2	     1	     1
    18	     2	     8
    30	    16	    -4
   -21	    -4	    -8
    -8	     1	   -17
     1	    31	   -10
   -22	    12	    11
    10	    -8	    -3
     3	     9	    -3
    -8	     7	    13
    -6	     6	   -12
     3	    14	    13
    21	    11	    23
     9	    -2	    -5
   -17	   -11	     4
     7	    -8	    -6
    -3	     2	     2
   -26	   -13	    25
    10	     9	     5
    -4	   -14	    -5
   -19	    -3	     3
   -10	    -9	    11
    -7	     1	   -11
     3	     8	    -7
    19	   -21	    -3
   -12	    -8	    -2
    -2	   -11	   -11
    -2	    -8	    -6
   -12	    -1	     8
    -1	    11	    -9
    -8	    -4	     8
    14	    12	   -12
     7	     2	    18
     5	   -10	   -22
     7	    -1	    19
     2	    11	    -3
     7	     3	    14
   -25	    15	    12
    -2	    -9	     6
    -9	    14	   -14
     6	     3	    11
    -6	    20	   -13
     4	    -3	    -3
   -13	     4	     5
     5	     6	    10
    10	     1	    -9
    12	    -8	   -11
    -4	    25	    -3
     1	    -5	   -13
     2	   -14	   -21
   -10	    -2	   -17
     8	    -4	     6
    -3	    -1	     3
    10	    24	    -8
     9	    -5	    -1
   -15	    -8	     8
    -8	   -15	    -9
    -7	    20	    23
   -18	   -14	    -8
    -6	     2	     0
    18	     6	     5
   -11	    12	     3
    -1	    23	    -9
   -22	     5	    17
     6	   -19	    -5
    -2	   -13	   -26
     5	   -11	   -13
    13	    -9	    -9
    -2	     9	   -19
    -3	     4	    -7
   -25	    -3	    17
    14	   -16	     1
   -14	     6	     5
   -19	   -14	   -13
    14	    -2	     8
    15	   -13	     2
     9	   -28	    -9
     1	     2	     8
     0	    14	    12
    23	    -6	    -9
    -4	    22	    20
   -10	     1	     1
     9	     6	     7
    -2	    -3	   -14
    23	     4	   -18
    13	   -14	     9
     8	    17	    -6
    -2	    -8	    -2
     9	    13	    -3
    11	    12	   -25
    11	     1	     5
    15	    22	    14
    21	    -8	   -18
     8	    15	     7
   -11	     3	    23
    22	    25	    21
    16	    14	    -7
    -8	    23	   -10
   -15	     4	   -14
    19	     0	    -5
    -9	    20	     1
    16	    -2	    12
    -2	    10	   -12
    -6	    13	    -2
    -4	     5	    20
   -17	    31	    -6
    30	     0	     8
   -10	    -2	    -4
    -2	    -7	    12
   -14	   -17	     3
   -21	    -9	   -15
   -12	   -22	     5
    28	     0	   -10
     2	     2	    -6
    -6	    18	     5
     9	     8	   -16
    15	    -8	    11
    10	    22	    13
    -6	     5	    -7
   -11	    18	     0
   -10	    17	   -23
    -1	    29	    -9
     4	   -10	     0
   -13	    -1	     9
    -7	    16	     1
    -8	   -15	     6
   -21	     1	     8
     7	   -14	     1
     3	   -15	   -12
    10	     7	    11
    20	    -1	    -6
   -20	    -1	   -11
    -4	     1	   -20
    10	   -15	    16
     6	     0	     5
     0	    17	    -9
    24	     8	   -10
     5	   -11	    -1
    -6	    -5	    -9
    12	   -13	     5
     1	     4	     5
    10	    -9	   -14
     4	     1	    -4
   -13	    -4	    10
   -17	    14	   -10
   -10	   -11	    -7
   -15	    13	     1
    -9	     8	    -9
    -7	   -15	   -11
    -3	    17	    -6
    10	    -6	     3
    16	    -5	    -3
   -11	    14	    -5
     4	     7	    -4
     1	    -7	    20
   -11	     2	     7
    -2	    -8	    -1
   -19	    -9	   -13
    25	   -19	   -11
    -6	    11	    22
     1	    -2	   -12
    20	     0	    -7
     7	    14	    13
     5	   -13	   -10
     1	    -9	   -13
    -2	   -12	   -11
    16	    -4	     0
    -5	   -25	    12
     0	    13	    21
    -3	    -9	     2
    18	    15	   -18
    -9	    -4	     9
    18	     5	     7
     8	   -10	    17
    29	    18	   -19
    -1	    10	   -23
   -23	    -3	    -7
    27	    -1	   -15
     6	    -6	    -5
    12	     6	     2
    11	     6	     9
    15	    11	    11
    11	     7	     3
    13	    -4	     2
     2	    -7	    14
    10	     0	     6
    -8	    12	    14
